student_input,session_context,label,intent_name
can u repeat,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:75%,Lambda Functions:75%,Error Handling:49% | emotion:confused | pace:steady | slides:31,32,33",4,Repeat/clarification
faster,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:81%,Error Handling:60%,Classes&OOP:64% | emotion:confused | pace:dragging | slides:53,54,55",3,Pace-Related
is this important?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:79%,Dictionaries:77%,Sets:46% | emotion:neutral | pace:rushed | slides:44,45,46",0,On-Topic Question
I'm so sleepy right now.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:71%,Lambda Functions:67%,Error Handling:93% | emotion:confused | pace:steady | slides:6,7,8",2,Emotional-State
what's the weather,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:54%,Strings&Formatting:77% | emotion:confused | pace:steady | slides:48,49,50",1,Off-Topic Question
say again,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:89%,Arithmetic Operators:72%,Boolean Logic:90% | emotion:overwhelmed | pace:rushed | slides:51,52,53",4,Repeat/clarification
next,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:rushed | slides:48,49,50",3,Pace-Related
??,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:49%,Lambda Functions:31%,Error Handling:70% | emotion:anxious | pace:normal | slides:25,26,27",4,Repeat/clarification
This is really starting to make sense?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:49%,Error Handling:87%,Classes&OOP:97% | emotion:bored | pace:rushed | slides:33,34,35",2,Emotional-State
FASTER,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:57%,Arithmetic Operators:77%,Boolean Logic:94% | emotion:focused | pace:fast | slides:43,44,45",3,Pace-Related
how does that work,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:dragging | slides:19,20,21",0,On-Topic Question
what was that,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:60%,Arithmetic Operators:46%,Boolean Logic:64% | emotion:confused | pace:moderate | slides:38,39,40",4,Repeat/clarification
I'm losing my patience.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:65%,Sets:77%,Functions&Scope:70% | emotion:overwhelmed | pace:slow | slides:43,44,45",2,Emotional-State
what does this line do,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:58%,Error Handling:100%,Classes&OOP:83% | emotion:frustrated | pace:dragging | slides:53,54,55",0,On-Topic Question
rewind,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:41%,Boolean Logic:90%,If/Else Conditionals:97% | emotion:anxious | pace:slow | slides:44,45,46",4,Repeat/clarification
pause pls,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:82% | emotion:anxious | pace:slow | slides:5,6,7",3,Pace-Related
again?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:56%,Strings&Formatting:48% | emotion:bored | pace:steady | slides:23,24,25",4,Repeat/clarification
"saw I someone using Error Handling (Try/Except), what does it do?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:34%,Dictionaries:41%,Sets:30% | emotion:focused | pace:dragging | slides:28,29,30",1,Off-Topic Question
What is the capital of France?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:40%,If/Else Conditionals:69%,For Loops:79% | emotion:frustrated | pace:fast | slides:8,9,10",1,Off-Topic Question
what's the weather,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:94%,Strings&Formatting:63% | emotion:confused | pace:steady | slides:14,15,16",1,Off-Topic Question
I feel completely stuck and confused.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:91%,While Loops:72%,Lists&Tuples:96% | emotion:engaged | pace:rushed | slides:43,44,45",2,Emotional-State
do we need to know this,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:44%,Lambda Functions:52%,Error Handling:33% | emotion:focused | pace:dragging | slides:37,38,39",0,On-Topic Question
umm im confutilized this about part,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:40%,Sets:41%,Functions&Scope:91% | emotion:bored | pace:normal | slides:7,8,9",0,On-Topic Question
could u repeat,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:72%,Error Handling:49%,Classes&OOP:63% | emotion:frustrated | pace:moderate | slides:45,46,47",4,Repeat/clarification
WHAT'S THE BEST PHONE TO BUY RIGHT NOW?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:33%,Lists&Tuples:99%,Dictionaries:60% | emotion:frustrated | pace:dragging | slides:17,18,19",1,Off-Topic Question
"Since I did well on For Loops, is Dictionaries going to be similar?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:56%,While Loops:87%,Lists&Tuples:74% | emotion:excited | pace:rushed | slides:58,59,60",0,On-Topic Question
i hate this,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:rushed | slides:15,16,17",2,Emotional-State
Do we need to know about File Haandling?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:66%,Lambda Functions:33%,Error Handling:37% | emotion:excited | pace:steady | slides:10,11,12",1,Off-Topic Question
say like again,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:72%,Dictionaries:52%,Sets:52% | emotion:bored | pace:moderate | slides:29,30,31",4,Repeat/clarification
ok so slow,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:89%,While Loops:57%,Lists&Tuples:88% | emotion:bored | pace:moderate | slides:24,25,26",3,Pace-Related
pause pls,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:78%,If/Else Conditionals:77%,For Loops:34% | emotion:excited | pace:rushed | slides:38,39,40",3,Pace-Related
Is bug Handling (Try/Except) related to what we are doing now?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:37%,For Loops:89%,While Loops:34% | emotion:bored | pace:fast | slides:45,46,47",1,Off-Topic Question
hurry up,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:92%,Lambda Functions:42%,Error Handling:49% | emotion:confused | pace:slow | slides:58,59,60",3,Pace-Related
what am i doing wrong,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:69%,Functions&Scope:35%,Lambda Functions:45% | emotion:engaged | pace:dragging | slides:9,10,11",0,On-Topic Question
i quit,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:98%,If/Else Conditionals:56%,For Loops:35% | emotion:bored | pace:normal | slides:51,52,53",2,Emotional-State
can we stop for a sec,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:69%,Sets:85%,Functions&Scope:93% | emotion:tired | pace:dragging | slides:23,24,25",3,Pace-Related
what does this line do,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:81%,Strings&Formatting:82%,Arithmetic Operators:42% | emotion:anxious | pace:steady | slides:33,34,35",0,On-Topic Question
I feel overwhelmed by al thhis new sstuff.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:42%,Functions&Scope:36%,Lambda Functions:87% | emotion:overwhelmed | pace:steady | slides:58,59,60",2,Emotional-State
faster,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:80%,Sets:48%,Functions&Scope:90% | emotion:neutral | pace:rushed | slides:22,23,24",3,Pace-Related
next slide,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:59%,Boolean Logic:56%,If/Else Conditionals:30% | emotion:frustrated | pace:fast | slides:14,15,16",3,Pace-Related
"I understood Boolean Logic but While Loops feels completely different, why?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:38%,If/Else Conditionals:32%,For Loops:80% | emotion:focused | pace:slow | slides:27,28,29",0,On-Topic Question
rewind,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:50%,Boolean Logic:30%,If/Else Conditionals:74% | emotion:overwhelmed | pace:rushed | slides:42,43,44",4,Repeat/clarification
what was that,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:45%,Error Handling:50%,Classes&OOP:44% | emotion:tired | pace:normal | slides:24,25,26",4,Repeat/clarification
can we talk about something else,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:70%,For Loops:71%,While Loops:99% | emotion:focused | pace:rushed | slides:37,38,39",1,Off-Topic Question
are you chatgpt,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:41%,Arithmetic Operators:42%,Boolean Logic:42% | emotion:anxious | pace:moderate | slides:24,25,26",1,Off-Topic Question
slow down im typing?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:89% | emotion:overwhelmed | pace:dragging | slides:41,42,43",3,Pace-Related
hurry up,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:56%,Strings&Formatting:71% | emotion:focused | pace:moderate | slides:23,24,25",3,Pace-Related
Can you re-run that example?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:65%,Functions&Scope:51%,Lambda Functions:56% | emotion:engaged | pace:rushed | slides:56,57,58",4,Repeat/clarification
Can you re-run that example!!,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:79%,Boolean Logic:37%,If/Else Conditionals:30% | emotion:excited | pace:steady | slides:16,17,18",4,Repeat/clarification
faster,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:36%,Error Handling:37%,Classes&OOP:96% | emotion:frustrated | pace:steady | slides:13,14,15",3,Pace-Related
What if I fail?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:76%,Dictionaries:79%,Sets:51% | emotion:excited | pace:moderate | slides:18,19,20",2,Emotional-State
"I think I got this, let's speed up.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:79%,Lists&Tuples:79%,Dictionaries:33% | emotion:tired | pace:dragging | slides:35,36,37",3,Pace-Related
"i think i got this, let's speed up.","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:89%,If/Else Conditionals:82%,For Loops:62% | emotion:tired | pace:moderate | slides:10,11,12",3,Pace-Related
"i saw someone using boolean logic, what does it do?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:63% | emotion:confused | pace:moderate | slides:57,58,59",1,Off-Topic Question
this is impossible,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:slow | slides:20,21,22",2,Emotional-State
Don't rush through this please.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:56%,Dictionaries:86%,Sets:63% | emotion:bored | pace:fast | slides:8,9,10",3,Pace-Related
can we over go that again,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:32%,For Loops:82%,While Loops:74% | emotion:focused | pace:normal | slides:8,9,10",4,Repeat/clarification
ur going too afst,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:95%,Strings&Formatting:88%,Arithmetic Operators:56% | emotion:tired | pace:slow | slides:12,13,14",3,Pace-Related
say again,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:51%,Arithmetic Operators:62%,Boolean Logic:57% | emotion:tired | pace:rushed | slides:46,47,48",4,Repeat/clarification
pause!!,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:41%,Functions&Scope:32%,Lambda Functions:59% | emotion:tired | pace:slow | slides:50,51,52",3,Pace-Related
can u repeat,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:32%,Strings&Formatting:75%,Arithmetic Operators:90% | emotion:bored | pace:steady | slides:44,45,46",4,Repeat/clarification
Don't rush through this please.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:31%,Arithmetic Operators:92%,Boolean Logic:51% | emotion:neutral | pace:steady | slides:40,41,42",3,Pace-Related
This is so confusing hurts. it,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:33%,Lists&Tuples:86%,Dictionaries:56% | emotion:overwhelmed | pace:fast | slides:30,31,32",2,Emotional-State
Can you re-run that example?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:38%,Functions&Scope:56%,Lambda Functions:81% | emotion:tired | pace:rushed | slides:21,22,23",4,Repeat/clarification
I need to hear that explanation again.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:78%,If/Else Conditionals:73%,For Loops:96% | emotion:confused | pace:normal | slides:9,10,11",4,Repeat/clarification
pardon?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:85%,Lambda Functions:50%,Error Handling:41% | emotion:anxious | pace:slow | slides:39,40,41",4,Repeat/clarification
While Loops is confusing,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:49%,If/Else Conditionals:51%,For Loops:57% | emotion:confused | pace:moderate | slides:11,12,13",0,On-Topic Question
Can yuo re-elaborate on how tthat works?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:88%,Boolean Logic:54%,If/Else Conditionals:48% | emotion:neutral | pace:steady | slides:35,36,37",4,Repeat/clarification
I need to hear that again. explanation,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:55% | emotion:overwhelmed | pace:steady | slides:8,9,10",4,Repeat/clarification
i don't understand the examlpe,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:46%,Error Handling:38%,Classes&OOP:64% | emotion:excited | pace:rushed | slides:22,23,24",0,On-Topic Question
Let me see that slide again.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:30%,Strings&Formatting:40% | emotion:anxious | pace:dragging | slides:34,35,36",4,Repeat/clarification
SLOW DOWN,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:62% | emotion:frustrated | pace:steady | slides:48,49,50",3,Pace-Related
hol up,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:63%,While Loops:32%,Lists&Tuples:42% | emotion:neutral | pace:fast | slides:50,51,52",3,Pace-Related
I'm loosing my paatience.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:32%,Boolean Logic:89%,If/Else Conditionals:95% | emotion:bored | pace:moderate | slides:54,55,56",2,Emotional-State
how do i use Dictionaries,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:84%,While Loops:47%,Lists&Tuples:52% | emotion:focused | pace:dragging | slides:7,8,9",0,On-Topic Question
"since i did well on boolean logic, is if/else conditionals going to be similar?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:67%,Arithmetic Operators:68%,Boolean Logic:76% | emotion:neutral | pace:fast | slides:5,6,7",0,On-Topic Question
i hate this,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:64%,Strings&Formatting:53% | emotion:frustrated | pace:steady | slides:41,42,43",2,Emotional-State
What is the capital of France!!,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:81%,Lambda Functions:35%,Error Handling:91% | emotion:frustrated | pace:normal | slides:57,58,59",1,Off-Topic Question
"Please slow down, I can't keep up.","topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:83%,Error Handling:35%,Classes&OOP:93% | emotion:neutral | pace:fast | slides:16,17,18",3,Pace-Related
can you slow down,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:73%,Strings&Formatting:87%,Arithmetic Operators:30% | emotion:engaged | pace:dragging | slides:12,13,14",3,Pace-Related
I have no idea what's going on.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:41%,Strings&Formatting:62% | emotion:tired | pace:rushed | slides:8,9,10",2,Emotional-State
can you write an essay for me,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:68%,Sets:57%,Functions&Scope:97% | emotion:confused | pace:dragging | slides:44,45,46",1,Off-Topic Question
one more time,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:91%,If/Else Conditionals:80%,For Loops:68% | emotion:excited | pace:dragging | slides:24,25,26",4,Repeat/clarification
this is hard too,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:62%,For Loops:99%,While Loops:66% | emotion:frustrated | pace:steady | slides:39,40,41",2,Emotional-State
lowkey confused,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:95%,Boolean Logic:45%,If/Else Conditionals:95% | emotion:overwhelmed | pace:dragging | slides:51,52,53",2,Emotional-State
"I understood If/Else Conditionals but For Loops feels completely different, why?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:55%,Boolean Logic:31%,If/Else Conditionals:95% | emotion:anxious | pace:fast | slides:20,21,22",0,On-Topic Question
whats good,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:41%,Error Handling:85%,Classes&OOP:37% | emotion:overwhelmed | pace:rushed | slides:5,6,7",1,Off-Topic Question
yo what,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:85% | emotion:frustrated | pace:moderate | slides:32,33,34",2,Emotional-State
im crying,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:38%,Sets:98%,Functions&Scope:60% | emotion:overwhelmed | pace:steady | slides:56,57,58",2,Emotional-State
go that again,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:83%,Functions&Scope:64%,Lambda Functions:95% | emotion:tired | pace:dragging | slides:13,14,15",4,Repeat/clarification
i am so mad right now,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:97% | emotion:neutral | pace:dragging | slides:21,22,23",2,Emotional-State
How long until we et to ictionnaries?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:63%,Strings&Formatting:66%,Arithmetic Operators:45% | emotion:excited | pace:dragging | slides:37,38,39",1,Off-Topic Question
skip this,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:58%,Error Handling:72%,Classes&OOP:74% | emotion:overwhelmed | pace:fast | slides:25,26,27",3,Pace-Related
bruh,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:91% | emotion:excited | pace:moderate | slides:32,33,34",2,Emotional-State
I feel overwhelmed all this new stuff?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:41%,Strings&Formatting:98% | emotion:confused | pace:normal | slides:11,12,13",2,Emotional-State
this is too hard,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:53% | emotion:focused | pace:rushed | slides:58,59,60",2,Emotional-State
make it stop,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:50%,Dictionaries:54%,Sets:30% | emotion:tired | pace:fast | slides:25,26,27",2,Emotional-State
again?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:99%,Strings&Formatting:75%,Arithmetic Operators:98% | emotion:overwhelmed | pace:dragging | slides:6,7,8",4,Repeat/clarification
hold on,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:48%,Arithmetic Operators:54%,Boolean Logic:60% | emotion:neutral | pace:moderate | slides:41,42,43",3,Pace-Related
i feel dumb,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:64%,Strings&Formatting:66% | emotion:bored | pace:dragging | slides:5,6,7",2,Emotional-State
"I understoood Boolann Logic but If/Else Conditionals feels completely different, whyy?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:67%,Arithmetic Operators:39%,Boolean Logic:42% | emotion:focused | pace:normal | slides:35,36,37",0,On-Topic Question
I feel like I'm not making any progress.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:56%,While Loops:79%,Lists&Tuples:41% | emotion:excited | pace:rushed | slides:14,15,16",2,Emotional-State
run that back,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:51%,Boolean Logic:61%,If/Else Conditionals:57% | emotion:anxious | pace:dragging | slides:34,35,36",4,Repeat/clarification
What's While Loops again?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:57%,If/Else Conditionals:71%,For Loops:32% | emotion:overwhelmed | pace:dragging | slides:32,33,34",0,On-Topic Question
BRUH,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:42%,Dictionaries:43%,Sets:79% | emotion:confused | pace:dragging | slides:23,24,25",2,Emotional-State
like yo what,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:77%,Arithmetic Operators:89%,Boolean Logic:78% | emotion:bored | pace:slow | slides:47,48,49",2,Emotional-State
"Hold on, I'm still writing notes.","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:100%,While Loops:79%,Lists&Tuples:37% | emotion:overwhelmed | pace:slow | slides:30,31,32",3,Pace-Related
Can we pick up the pace?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:97%,While Loops:86%,Lists&Tuples:35% | emotion:frustrated | pace:steady | slides:36,37,38",3,Pace-Related
omg it works,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:81%,Dictionaries:69%,Sets:79% | emotion:bored | pace:dragging | slides:7,8,9",2,Emotional-State
How long until we get to Classes and OOP?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:68%,Functions&Scope:67%,Lambda Functions:78% | emotion:engaged | pace:steady | slides:43,44,45",1,Off-Topic Question
example pls,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:60%,Boolean Logic:49%,If/Else Conditionals:64% | emotion:tired | pace:slow | slides:14,15,16",0,On-Topic Question
actually do you sleep,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:53%,For Loops:73%,While Loops:84% | emotion:overwhelmed | pace:normal | slides:38,39,40",1,Off-Topic Question
WHERE DOES SETS FIT IN A LARGER PROGRAM?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:88%,Lists&Tuples:62%,Dictionaries:79% | emotion:anxious | pace:rushed | slides:57,58,59",0,On-Topic Question
This is really starting to make sense!,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:41%,For Loops:41%,While Loops:96% | emotion:overwhelmed | pace:normal | slides:7,8,9",2,Emotional-State
lost u there,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:58%,While Loops:64%,Lists&Tuples:88% | emotion:frustrated | pace:normal | slides:4,5,6",4,Repeat/clarification
what's 2+2,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:47%,Lists&Tuples:30%,Dictionaries:37% | emotion:engaged | pace:slow | slides:52,53,54",1,Off-Topic Question
Let me see that slide again.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:moderate | slides:26,27,28",4,Repeat/clarification
"I saw someone using Error Handling (Try/Except), what does it do?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:93%,Strings&Formatting:88% | emotion:tired | pace:dragging | slides:16,17,18",1,Off-Topic Question
i don't understand the example,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:77%,Error Handling:81%,Classes&OOP:82% | emotion:bored | pace:normal | slides:40,41,42",0,On-Topic Question
can we talk something else,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:77%,If/Else Conditionals:93%,For Loops:95% | emotion:neutral | pace:rushed | slides:51,52,53",1,Off-Topic Question
"I understood Boolean Logic but For Loops feels completely different, why?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:81%,Boolean Logic:55%,If/Else Conditionals:79% | emotion:bored | pace:dragging | slides:28,29,30",0,On-Topic Question
Whree does Erro rHandling (Try/Except) fit in  alarger program?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:69%,Functions&Scope:65%,Lambda Functions:61% | emotion:focused | pace:normal | slides:52,53,54",0,On-Topic Question
hol up,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:rushed | slides:36,37,38",3,Pace-Related
what if i fail,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:48%,Strings&Formatting:48%,Arithmetic Operators:56% | emotion:engaged | pace:slow | slides:57,58,59",2,Emotional-State
??,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:59%,For Loops:83%,While Loops:75% | emotion:bored | pace:fast | slides:25,26,27",4,Repeat/clarification
what did u say,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:71%,Lambda Functions:40%,Error Handling:81% | emotion:anxious | pace:steady | slides:52,53,54",4,Repeat/clarification
I feel like I'm not making any progress?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:90%,If/Else Conditionals:95%,For Loops:71% | emotion:overwhelmed | pace:rushed | slides:15,16,17",2,Emotional-State
