student_input,session_context,label,intent_name
do u play games,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:45%,Sets:98%,Functions&Scope:67% | emotion:focused | pace:moderate | slides:18,19,20",1,Off-Topic Question
i love coding,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:dragging | slides:26,27,28",2,Emotional-State
whats the capital of france,,1,Off-Topic Question
i don't understand the example?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:97%,Error Handling:81%,Classes&OOP:60% | emotion:bored | pace:rushed | slides:52,53,54",0,On-Topic Question
pause,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:normal | slides:45,46,47",3,Pace-Related
Can you show that example one more time?,,4,Repeat/clarification
Do we need to know about Dictionaries?,,1,Off-Topic Question
i feel dumb,,2,Emotional-State
How long until we get to Lambda Functions?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:95%,Lists&Tuples:38%,Dictionaries:48% | emotion:confused | pace:moderate | slides:14,15,16",1,Off-Topic Question
Lambda Functions is confusing,,0,On-Topic Question
hello,,1,Off-Topic Question
Do we need to know about Lambda Functions?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:55%,Strings&Formatting:32%,Arithmetic Operators:69% | emotion:focused | pace:rushed | slides:14,15,16",1,Off-Topic Question
hey Where does Lambda Functions fit in a larger program?,,0,On-Topic Question
My head hurts from all this information.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:65%,While Loops:32%,Lists&Tuples:93% | emotion:focused | pace:moderate | slides:55,56,57",2,Emotional-State
Is Functions and Scope something I'll use every day?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:44%,Dictionaries:34%,Sets:56% | emotion:confused | pace:steady | slides:13,14,15",0,On-Topic Question
"Since I did well on issue Handling (Try/Except), is Classes and OOP going to be similar?",,0,On-Topic Question
did not hear you,,4,Repeat/clarification
actually What is the capital of France?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:90%,Arithmetic Operators:35%,Boolean Logic:33% | emotion:engaged | pace:slow | slides:11,12,13",1,Off-Topic Question
Can we pick up the pace?,,3,Pace-Related
im hungry?,,1,Off-Topic Question
my eyes hurt,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:83%,Dictionaries:54%,Sets:78% | emotion:bored | pace:steady | slides:38,39,40",2,Emotional-State
lowkey confused,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:81%,While Loops:63%,Lists&Tuples:34% | emotion:neutral | pace:normal | slides:38,39,40",2,Emotional-State
yay i did it,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:98%,Dictionaries:73%,Sets:93% | emotion:frustrated | pace:normal | slides:12,13,14",2,Emotional-State
Do we need to know about File Handling,,1,Off-Topic Question
hol up,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:66%,Boolean Logic:97%,If/Else Conditionals:83% | emotion:frustrated | pace:normal | slides:41,42,43",3,Pace-Related
wait a minute,,3,Pace-Related
long How until we get to Functions and Scope?,,1,Off-Topic Question
How long until we get to Error Handling (Try/Except)?,,1,Off-Topic Question
When will we cover Sets,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:47%,Boolean Logic:100%,If/Else Conditionals:85% | emotion:overwhelmed | pace:rushed | slides:31,32,33",1,Off-Topic Question
pause,,3,Pace-Related
skip this,,3,Pace-Related
When should I use If/Else Conditionals vs other approach?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:32%,Arithmetic Operators:85%,Boolean Logic:45% | emotion:engaged | pace:steady | slides:44,45,46",0,On-Topic Question
wait what?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:74%,Strings&Formatting:95% | emotion:overwhelmed | pace:steady | slides:11,12,13",4,Repeat/clarification
what happened?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:84%,Arithmetic Operators:79%,Boolean Logic:73% | emotion:anxious | pace:rushed | slides:33,34,35",4,Repeat/clarification
i wasn't listening,,4,Repeat/clarification
hurry up,,3,Pace-Related
"I understood Classes and OOP but File Handling feels completely different, why?",,0,On-Topic Question
ann yu hsow hat example oe more time?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:41%,For Loops:98%,While Loops:35% | emotion:focused | pace:rushed | slides:46,47,48",4,Repeat/clarification
CAN YOU RE-RUN THAT EXAMPLE?,,4,Repeat/clarification
hello,,1,Off-Topic Question
Can you re-run that example?,,4,Repeat/clarification
im so tired?,,2,Emotional-State
move on,,3,Pace-Related
wait a minute,,3,Pace-Related
Can you present that example one more time?,,4,Repeat/clarification
skip to the next part,,3,Pace-Related
This is really starting to make sense!,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:38%,Strings&Formatting:46% | emotion:frustrated | pace:fast | slides:8,9,10",2,Emotional-State
actually How much does a new car cost?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:33%,While Loops:37%,Lists&Tuples:51% | emotion:overwhelmed | pace:fast | slides:26,27,28",1,Off-Topic Question
how does Strings and Formatting work,,0,On-Topic Question
"I'm confused, I feel so dumb right now.",,2,Emotional-State
"Since I did well on Variables and Data Types, is Strings and Formatting going to be similar?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:60% | emotion:confused | pace:moderate | slides:52,53,54",0,On-Topic Question
what is Lists and Tuples,,0,On-Topic Question
I have no idea what's going on.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:67%,For Loops:59%,While Loops:32% | emotion:engaged | pace:moderate | slides:57,58,59",2,Emotional-State
i so feell dub,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:moderate | slides:28,29,30",2,Emotional-State
next slide?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:40%,For Loops:35%,While Loops:88% | emotion:frustrated | pace:rushed | slides:23,24,25",3,Pace-Related
I feel anxious about falling behind.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:83%,Functions&Scope:96%,Lambda Functions:72% | emotion:anxious | pace:moderate | slides:15,16,17",2,Emotional-State
are you a robot,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:93% | emotion:excited | pace:slow | slides:36,37,38",1,Off-Topic Question
give me example of Lambda Functions,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:39%,Sets:42%,Functions&Scope:98% | emotion:engaged | pace:steady | slides:18,19,20",0,On-Topic Question
Can well we pick up the pace?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:97%,Sets:61%,Functions&Scope:71% | emotion:bored | pace:fast | slides:10,11,12",3,Pace-Related
i dont get it,,0,On-Topic Question
Where does Variables and Data Types fit in a larger program?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:fast | slides:43,44,45",0,On-Topic Question
hang on?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:fast | slides:57,58,59",3,Pace-Related
too fast bro,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:88%,While Loops:75%,Lists&Tuples:96% | emotion:excited | pace:fast | slides:40,41,42",3,Pace-Related
well how do i use File Handling,,0,On-Topic Question
i wasn't listening,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:42%,While Loops:35%,Lists&Tuples:65% | emotion:anxious | pace:slow | slides:18,19,20",4,Repeat/clarification
one sec,,3,Pace-Related
yo what,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:85%,Functions&Scope:61%,Lambda Functions:99% | emotion:excited | pace:normal | slides:12,13,14",2,Emotional-State
How long until we get to File Handling?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:99%,Boolean Logic:69%,If/Else Conditionals:34% | emotion:overwhelmed | pace:moderate | slides:54,55,56",1,Off-Topic Question
so what did i miss,,4,Repeat/clarification
Where does While Loops fit a in larger program?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:52%,If/Else Conditionals:51%,For Loops:37% | emotion:overwhelmed | pace:steady | slides:8,9,10",0,On-Topic Question
"I think I got this, let's hurry up?",,3,Pace-Related
lost u there,,4,Repeat/clarification
slow down im typing,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:84%,Strings&Formatting:46%,Arithmetic Operators:46% | emotion:focused | pace:normal | slides:18,19,20",3,Pace-Related
pardon?,,4,Repeat/clarification
i didnt catch that?,,4,Repeat/clarification
i love coding,,2,Emotional-State
i give up,,2,Emotional-State
"I understood Dictionaries Lambda Functions feels completely different, why?",,0,On-Topic Question
whats good,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:79%,Arithmetic Operators:69%,Boolean Logic:59% | emotion:tired | pace:dragging | slides:5,6,7",1,Off-Topic Question
Can you go back to the previous slide for a second?,,4,Repeat/clarification
can we pause,,3,Pace-Related
how does that work,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:fast | slides:6,7,8",0,On-Topic Question
actually I feel completely stuck and confused.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:67%,If/Else Conditionals:40%,For Loops:79% | emotion:tired | pace:rushed | slides:13,14,15",2,Emotional-State
I feel anxious about falling behind.,,2,Emotional-State
wait go back,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:66%,If/Else Conditionals:41%,For Loops:77% | emotion:overwhelmed | pace:rushed | slides:6,7,8",3,Pace-Related
"I didn't understand, please say it again.",,4,Repeat/clarification
can u show another example,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:67%,Lists&Tuples:71%,Dictionaries:69% | emotion:focused | pace:fast | slides:17,18,19",0,On-Topic Question
like i quit,,2,Emotional-State
im exhausted,,2,Emotional-State
sup,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:41%,Strings&Formatting:30%,Arithmetic Operators:81% | emotion:focused | pace:steady | slides:5,6,7",1,Off-Topic Question
what is it,,1,Off-Topic Question
CHILL FOR A SEC,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:84%,Strings&Formatting:76% | emotion:overwhelmed | pace:rushed | slides:34,35,36",3,Pace-Related
Skip ahead please?,,3,Pace-Related
i quit,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:65%,For Loops:83%,While Loops:41% | emotion:confused | pace:slow | slides:54,55,56",2,Emotional-State
let's goooo,,2,Emotional-State
"Give me a sec, I'm still processing.",,3,Pace-Related
"Since I did well on Strings and Formatting, is Boolean Logic going to be similar?","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:70%,Strings&Formatting:31%,Arithmetic Operators:55% | emotion:neutral | pace:fast | slides:56,57,58",0,On-Topic Question
i give up?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:47%,Dictionaries:96%,Sets:71% | emotion:neutral | pace:rushed | slides:52,53,54",2,Emotional-State
whats up,,1,Off-Topic Question
??,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:99%,Strings&Formatting:94%,Arithmetic Operators:81% | emotion:frustrated | pace:moderate | slides:50,51,52",4,Repeat/clarification
one sec?,,3,Pace-Related
Can you go back to the previous slide for a second?,,4,Repeat/clarification
i'm losing patience.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:47%,Strings&Formatting:72%,Arithmetic Operators:77% | emotion:overwhelmed | pace:dragging | slides:22,23,24",2,Emotional-State
slow down typing,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:32% | emotion:frustrated | pace:normal | slides:15,16,17",3,Pace-Related
how do i write this,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:slow | slides:55,56,57",0,On-Topic Question
huh,,4,Repeat/clarification
i quit,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:74%,For Loops:55%,While Loops:55% | emotion:bored | pace:rushed | slides:46,47,48",2,Emotional-State
"Since I did well on Variables and Data Types, is Strings and Formatting going to be similar","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:46% | emotion:frustrated | pace:slow | slides:9,10,11",0,On-Topic Question
what u mean,,4,Repeat/clarification
hey Please slow I can't keep up.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:78%,For Loops:85%,While Loops:51% | emotion:overwhelmed | pace:slow | slides:23,24,25",3,Pace-Related
didn't get that,,4,Repeat/clarification
Is Functions and Scope related to what we are doing now?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:dragging | slides:9,10,11",1,Off-Topic Question
"I saw someone using Lambda Functions, what does it do?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:74%,If/Else Conditionals:97%,For Loops:50% | emotion:focused | pace:normal | slides:55,56,57",1,Off-Topic Question
what's 2+2,,1,Off-Topic Question
lowkey confapplyd,,2,Emotional-State
I don't get the part about Error Handling (Try/Except).,,0,On-Topic Question
What' ste pont of Dictionaries,,0,On-Topic Question
can u repeat,,4,Repeat/clarification
do u play games,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:71%,Error Handling:99%,Classes&OOP:90% | emotion:anxious | pace:normal | slides:23,24,25",1,Off-Topic Question
explain the code,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:78%,Sets:41%,Functions&Scope:86% | emotion:anxious | pace:moderate | slides:33,34,35",0,On-Topic Question
I feel like I'm not making any progress.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:slow | slides:49,50,51",2,Emotional-State
When will we cover File Handling?,,1,Off-Topic Question
i didnt catch that,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:64%,Strings&Formatting:37%,Arithmetic Operators:71% | emotion:neutral | pace:rushed | slides:34,35,36",4,Repeat/clarification
"Hold on, I'm still writing notes.",,3,Pace-Related
skip this,,3,Pace-Related
Do we need to know about Classes and OOP?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:64%,Lists&Tuples:47%,Dictionaries:52% | emotion:anxious | pace:dragging | slides:32,33,34",1,Off-Topic Question
i already know this go faster,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:51%,Strings&Formatting:58%,Arithmetic Operators:94% | emotion:excited | pace:normal | slides:16,17,18",3,Pace-Related
example pls,,0,On-Topic Question
smh,,2,Emotional-State
skip this,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:dragging | slides:48,49,50",3,Pace-Related
im stuck on Variables and Data Types,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:moderate | slides:36,37,38",0,On-Topic Question
hey omg it works,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:87%,While Loops:87%,Lists&Tuples:87% | emotion:engaged | pace:fast | slides:9,10,11",2,Emotional-State
can we pause?,,3,Pace-Related
move on,,3,Pace-Related
help me fix this,,0,On-Topic Question
i wasn't lisetning,,4,Repeat/clarification
Can you go back the to previous slide for a second?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:50%,Lambda Functions:66%,Error Handling:75% | emotion:confused | pace:fast | slides:22,23,24",4,Repeat/clarification
What iss the capital of Farnce?,,1,Off-Topic Question
ok so 2+2 what's,,1,Off-Topic Question
slow,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:96% | emotion:engaged | pace:fast | slides:40,41,42",3,Pace-Related
one sec,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:84%,Strings&Formatting:85% | emotion:neutral | pace:fast | slides:17,18,19",3,Pace-Related
repeat pls,,4,Repeat/clarification
repeat pls,,4,Repeat/clarification
slow tf down,,3,Pace-Related
I feel anxious about falling behind?,,2,Emotional-State
Can we skip this?,,3,Pace-Related
hurry up,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:54%,If/Else Conditionals:89%,For Loops:47% | emotion:engaged | pace:normal | slides:14,15,16",3,Pace-Related
can we talk about something else,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:100%,Boolean Logic:76%,If/Else Conditionals:59% | emotion:frustrated | pace:rushed | slides:50,51,52",1,Off-Topic Question
i love coding,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:59%,If/Else Conditionals:77%,For Loops:99% | emotion:excited | pace:slow | slides:10,11,12",2,Emotional-State
can we stop for a sec,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:slow | slides:58,59,60",3,Pace-Related
i didnt catch that,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:92%,Lists&Tuples:81%,Dictionaries:94% | emotion:focused | pace:dragging | slides:50,51,52",4,Repeat/clarification
skip this?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:55%,If/Else Conditionals:32%,For Loops:66% | emotion:engaged | pace:moderate | slides:54,55,56",3,Pace-Related
wait what?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:slow | slides:20,21,22",4,Repeat/clarification
hey slow tf down,,3,Pace-Related
huh,,4,Repeat/clarification
can we pause,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:78%,Dictionaries:61%,Sets:73% | emotion:frustrated | pace:steady | slides:42,43,44",3,Pace-Related
"I love coding, this is fun!",,2,Emotional-State
run that back,,4,Repeat/clarification
Let me see that slie again.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:40% | emotion:neutral | pace:moderate | slides:9,10,11",4,Repeat/clarification
I need to hear tha explantiaon again.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:30%,Boolean Logic:79%,If/Else Conditionals:86% | emotion:neutral | pace:rushed | slides:17,18,19",4,Repeat/clarification
whee wwuold ii use this,,0,On-Topic Question
what u mean,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:57%,Strings&Formatting:91%,Arithmetic Operators:56% | emotion:frustrated | pace:normal | slides:38,39,40",4,Repeat/clarification
what did i miss,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:41%,For Loops:51%,While Loops:40% | emotion:confused | pace:dragging | slides:59,60,61",4,Repeat/clarification
whats the syntax,,0,On-Topic Question
Can you re-explain how that works?,,4,Repeat/clarification
speed it up,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:41%,Lambda Functions:39%,Error Handling:81% | emotion:overwhelmed | pace:fast | slides:51,52,53",3,Pace-Related
"Hold on, I'm still writing notes.","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:94%,Functions&Scope:90%,Lambda Functions:55% | emotion:tired | pace:slow | slides:55,56,57",3,Pace-Related
i ive up,,2,Emotional-State
im blocked on Strings and Formatting,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:97% | emotion:anxious | pace:slow | slides:51,52,53",0,On-Topic Question
how do i use If/Else Conditionals,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:87%,Arithmetic Operators:44%,Boolean Logic:30% | emotion:frustrated | pace:normal | slides:57,58,59",0,On-Topic Question
this sucks,,2,Emotional-State
"I saw someeone using FFile Handling, what does it doo?",,1,Off-Topic Question
Can we pick up the pace?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:89%,Lambda Functions:68%,Error Handling:39% | emotion:anxious | pace:steady | slides:29,30,31",3,Pace-Related
wait a minute?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:76%,Arithmetic Operators:59%,Boolean Logic:64% | emotion:tired | pace:rushed | slides:26,27,28",3,Pace-Related
This is so confusing it hurts.,,2,Emotional-State
whaat should i eat,,1,Off-Topic Question
repeat pls,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:dragging | slides:14,15,16",4,Repeat/clarification
this sucks,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:81%,Lambda Functions:95%,Error Handling:93% | emotion:confused | pace:steady | slides:44,45,46",2,Emotional-State
This is so confusing it hurts.,,2,Emotional-State
what's the difference,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:32%,Arithmetic Operators:83%,Boolean Logic:89% | emotion:anxious | pace:slow | slides:18,19,20",0,On-Topic Question
Is File Handling related to what we are doing now?,,1,Off-Topic Question
my eyes hurt,,2,Emotional-State
bruh,,2,Emotional-State
repeat pls,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:82%,While Loops:43%,Lists&Tuples:75% | emotion:excited | pace:dragging | slides:8,9,10",4,Repeat/clarification
yo what,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:56%,While Loops:67%,Lists&Tuples:81% | emotion:confused | pace:steady | slides:12,13,14",2,Emotional-State
hey whats the capital of france,,1,Off-Topic Question
ok so pause pls,,3,Pace-Related
lowkey confused,,2,Emotional-State
I feel overwhelmed by all this new stuf.,,2,Emotional-State
yo what,,2,Emotional-State
"I'm confused, I feel so dumb right now.",,2,Emotional-State
did not hear you,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:50%,While Loops:55%,Lists&Tuples:67% | emotion:excited | pace:moderate | slides:22,23,24",4,Repeat/clarification
Can we skip this?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:99%,Strings&Formatting:64%,Arithmetic Operators:84% | emotion:tired | pace:normal | slides:22,23,24",3,Pace-Related
"I'm confused,  feel so dumb right now.",,2,Emotional-State
how do i write this,,0,On-Topic Question
I don't understand anything.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:86%,Boolean Logic:41%,If/Else Conditionals:52% | emotion:frustrated | pace:dragging | slides:57,58,59",2,Emotional-State
run that back,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:67%,Functions&Scope:51%,Lambda Functions:85% | emotion:bored | pace:normal | slides:39,40,41",4,Repeat/clarification
"Since I did well on While Loops, is Lists and Tuples going to be similar",,0,On-Topic Question
i don't understand anything.,,2,Emotional-State
this is too hard,,2,Emotional-State
faster please,,3,Pace-Related
hang on,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:38%,Dictionaries:56%,Sets:45% | emotion:bored | pace:fast | slides:24,25,26",3,Pace-Related
I feel completely stuck and confapplyd.,,2,Emotional-State
sing a song,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:97%,Error Handling:32%,Classes&OOP:60% | emotion:excited | pace:fast | slides:24,25,26",1,Off-Topic Question
i don't comprehend the example,,0,On-Topic Question
yo,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:42%,While Loops:43%,Lists&Tuples:30% | emotion:excited | pace:steady | slides:36,37,38",1,Off-Topic Question
"I understood Strings and Formatting but Arithmetic Operators feels completely alternative, why?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:99%,Strings&Formatting:93% | emotion:frustrated | pace:normal | slides:5,6,7",0,On-Topic Question
don't undderstand anything.,,2,Emotional-State
huh,,4,Repeat/clarification
what day is it?,,1,Off-Topic Question
"Wait, what was that?","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:68%,Strings&Formatting:62%,Arithmetic Operators:77% | emotion:confused | pace:normal | slides:46,47,48",4,Repeat/clarification
Do we need to know about File Handling?,,1,Off-Topic Question
"Since I did on While Loops, is Sets going to be similar",,0,On-Topic Question
what day is it,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:89%,Strings&Formatting:67% | emotion:focused | pace:moderate | slides:40,41,42",1,Off-Topic Question
how do i write this,,0,On-Topic Question
how o i write this,,0,On-Topic Question
can you adjust the speed a bit?,,3,Pace-Related
This is so confusing it hurts.,,2,Emotional-State
what di di imss,,4,Repeat/clarification
can u repeat,,4,Repeat/clarification
i hate this,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:78%,Lists&Tuples:80%,Dictionaries:91% | emotion:excited | pace:fast | slides:13,14,15",2,Emotional-State
I'm losing my patience?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:67% | emotion:tired | pace:dragging | slides:59,60,61",2,Emotional-State
what?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:76%,Lists&Tuples:96%,Dictionaries:32% | emotion:anxious | pace:moderate | slides:8,9,10",4,Repeat/clarification
hello,,1,Off-Topic Question
Do we need to know about File Handling?,,1,Off-Topic Question
IIs Dictionaries used a lot in rael projects?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:72%,While Loops:63%,Lists&Tuples:83% | emotion:confused | pace:rushed | slides:49,50,51",0,On-Topic Question
what was that,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:50%,Strings&Formatting:36%,Arithmetic Operators:46% | emotion:excited | pace:normal | slides:37,38,39",4,Repeat/clarification
so yo,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:44%,Boolean Logic:51%,If/Else Conditionals:50% | emotion:confused | pace:slow | slides:50,51,52",1,Off-Topic Question
im not getting Variables and Data Types,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:fast | slides:56,57,58",0,On-Topic Question
pause,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:78%,Dictionaries:38%,Sets:37% | emotion:anxious | pace:normal | slides:38,39,40",3,Pace-Related
