student_input,session_context,label,intent_name
"Sorry, I zoned out. What did you just say?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:86%,Lists&Tuples:60% | emotion:focused | pace:slow | slides:41,42,43",4,Repeat/clarification
Can we go through the next part faster?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:81%,Lists&Tuples:94%,Dictionaries:81% | emotion:bored | pace:normal | slides:43,44,45",3,Pace-Related
CAN WE PICK UP THE PACE?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:58%,If/Else Conditionals:100%,For Loops:64% | emotion:frustrated | pace:slow | slides:8,9,10",3,Pace-Related
How would I use and Formatting in a project,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:80% | emotion:focused | pace:moderate | slides:55,56,57",0,On-Topic Question
What's the difference between the two approaches you displayed for Lambda Functions?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:98%,Sets:70%,Functions&Scope:35% | emotion:overwhelmed | pace:rushed | slides:23,24,25",0,On-Topic Question
"I didn't understand, please say it again?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:34%,Arithmetic Operators:78%,Boolean Logic:59% | emotion:confused | pace:slow | slides:15,16,17",4,Repeat/clarification
Do we need to know about File Handling?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:87%,Lambda Functions:34%,Error Handling:84% | emotion:focused | pace:normal | slides:6,7,8",1,Off-Topic Question
is if/else conditionals hard to learn?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:rushed | slides:54,55,56",1,Off-Topic Question
"I didn't understand, please say it again.","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:92%,Dictionaries:31%,Sets:30% | emotion:focused | pace:normal | slides:20,21,22",4,Repeat/clarification
PACE THE FEELS ABOUT RIGHT.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:37%,Dictionaries:96%,Sets:47% | emotion:overwhelmed | pace:steady | slides:36,37,38",3,Pace-Related
The pace feels about right.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:72%,Arithmetic Operators:89%,Boolean Logic:52% | emotion:engaged | pace:steady | slides:9,10,11",3,Pace-Related
This is not engaging at all.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:98%,Lists&Tuples:50%,Dictionaries:44% | emotion:confused | pace:rushed | slides:53,54,55",2,Emotional-State
Are we on schedule?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:34%,Functions&Scope:47%,Lambda Functions:85% | emotion:tired | pace:fast | slides:11,12,13",3,Pace-Related
I'm lost.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:64%,Lambda Functions:93%,Error Handling:93% | emotion:focused | pace:moderate | slides:19,20,21",2,Emotional-State
How much time do we have left?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:90%,Lists&Tuples:49%,Dictionaries:47% | emotion:engaged | pace:normal | slides:42,43,44",3,Pace-Related
like can yo sohw that examlpe one mor time?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:focused | pace:slow | slides:4,5,6",4,Repeat/clarification
How many more slides do we have?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:56%,For Loops:100%,While Loops:79% | emotion:excited | pace:normal | slides:58,59,60",3,Pace-Related
"You said I scored low on Variables and Data Types, does that affect how I should approach Strings and Formatting?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:56% | emotion:confused | pace:slow | slides:45,46,47",0,On-Topic Question
"I heard about File Handling, can you explain it to me?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:40%,Functions&Scope:70%,Lambda Functions:55% | emotion:bored | pace:rushed | slides:43,44,45",1,Off-Topic Question
I FEEL LIKE GIVING UP.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:95%,For Loops:40%,While Loops:30% | emotion:engaged | pace:steady | slides:11,12,13",2,Emotional-State
Let's move on to the next topic,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:47%,Strings&Formatting:66%,Arithmetic Operators:34% | emotion:focused | pace:rushed | slides:26,27,28",3,Pace-Related
Do you watch Netflix?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:90%,Lists&Tuples:66%,Dictionaries:98% | emotion:focused | pace:steady | slides:21,22,23",1,Off-Topic Question
"Sorry, I zoned out. What did you just say?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:37%,Arithmetic Operators:75%,Boolean Logic:76% | emotion:frustrated | pace:dragging | slides:29,30,31",4,Repeat/clarification
Let's move on to the next topic.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:34%,Error Handling:38%,Classes&OOP:90% | emotion:neutral | pace:fast | slides:33,34,35",3,Pace-Related
I need a 5 minute break.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:98%,While Loops:75%,Lists&Tuples:58% | emotion:excited | pace:fast | slides:26,27,28",3,Pace-Related
"My score on Functions and Scope was not great, will I need it for Classes and OOP?","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:98%,Lambda Functions:68%,Error Handling:93% | emotion:anxious | pace:steady | slides:16,17,18",0,On-Topic Question
I'm so sleepy right now.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:89%,Sets:54%,Functions&Scope:69% | emotion:neutral | pace:normal | slides:29,30,31",2,Emotional-State
Can you debug this Arithmetic Operators example with me?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:42%,Strings&Formatting:66% | emotion:focused | pace:moderate | slides:11,12,13",0,On-Topic Question
How much does a new car cost?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:84%,Lambda Functions:54%,Error Handling:94% | emotion:focused | pace:rushed | slides:53,54,55",1,Off-Topic Question
"My firend told mee Errro Handlin (Try/Exccept) is importan,t is that true?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:98%,Lists&Tuples:34%,Dictionaries:95% | emotion:excited | pace:dragging | slides:36,37,38",1,Off-Topic Question
Can we pause for a minute?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:59%,Error Handling:89%,Classes&OOP:76% | emotion:confused | pace:rushed | slides:9,10,11",3,Pace-Related
When should I use Error Handling (Try/Except) vs the other approach?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:48%,Functions&Scope:45%,Lambda Functions:83% | emotion:anxious | pace:steady | slides:26,27,28",0,On-Topic Question
Come again?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:66%,For Loops:76%,While Loops:78% | emotion:overwhelmed | pace:fast | slides:35,36,37",4,Repeat/clarification
Can you wait a second before moving to the next slide?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:49%,Lambda Functions:44%,Error Handling:97% | emotion:bored | pace:steady | slides:45,46,47",3,Pace-Related
Could you clarify whatt you meant?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:81%,Strings&Formatting:83%,Arithmetic Operators:81% | emotion:focused | pace:fast | slides:52,53,54",4,Repeat/clarification
How does Lists and Tuples work in Python?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:88%,Boolean Logic:66%,If/Else Conditionals:69% | emotion:overwhelmed | pace:slow | slides:56,57,58",1,Off-Topic Question
"actually I'm cofused, I feell soo dumb rigth nw","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:89%,Strings&Formatting:38%,Arithmetic Operators:33% | emotion:bored | pace:normal | slides:30,31,32",2,Emotional-State
"Since I did well on Variables and Data Types, is Strings and Formatting going to be similar?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:100% | emotion:overwhelmed | pace:rushed | slides:47,48,49",0,On-Topic Question
Could you clarify what you meant?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:34%,While Loops:96%,Lists&Tuples:67% | emotion:neutral | pace:slow | slides:16,17,18",4,Repeat/clarification
"i heard about sets, can you explain it to me?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:65%,If/Else Conditionals:41%,For Loops:71% | emotion:focused | pace:rushed | slides:15,16,17",1,Off-Topic Question
"I didn't understand, please say it again.","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:53%,Dictionaries:75%,Sets:43% | emotion:overwhelmed | pace:rushed | slides:38,39,40",4,Repeat/clarification
Can you adjust the speed a bit?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:85%,Dictionaries:67%,Sets:65% | emotion:excited | pace:dragging | slides:24,25,26",3,Pace-Related
I need more time to process this.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:fast | slides:24,25,26",3,Pace-Related
What were the key points of that last section?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:56%,If/Else Conditionals:55%,For Loops:78% | emotion:anxious | pace:moderate | slides:58,59,60",4,Repeat/clarification
i feel stupid for not getting this.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:74%,If/Else Conditionals:70%,For Loops:93% | emotion:confused | pace:dragging | slides:23,24,25",2,Emotional-State
i need more time to process this.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:52%,Functions&Scope:96%,Lambda Functions:71% | emotion:engaged | pace:steady | slides:33,34,35",3,Pace-Related
This is boring. getting,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:88%,Functions&Scope:92%,Lambda Functions:80% | emotion:bored | pace:moderate | slides:23,24,25",2,Emotional-State
I need a moment to think about this.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:74%,Strings&Formatting:99%,Arithmetic Operators:30% | emotion:anxious | pace:rushed | slides:21,22,23",3,Pace-Related
Tell me a joke.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:79%,Dictionaries:63%,Sets:63% | emotion:tired | pace:steady | slides:49,50,51",1,Off-Topic Question
Why do we need Lambda Functions?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:63%,Sets:61%,Functions&Scope:51% | emotion:excited | pace:slow | slides:9,10,11",0,On-Topic Question
Can we skip ahead to Classes and OOP?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:55%,Dictionaries:35%,Sets:30% | emotion:focused | pace:slow | slides:40,41,42",1,Off-Topic Question
Can you clarify the difference between the two examples!!,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:44%,Functions&Scope:100%,Lambda Functions:95% | emotion:anxious | pace:steady | slides:49,50,51",4,Repeat/clarification
What were the key points of that last section?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:51%,Lambda Functions:93%,Error Handling:55% | emotion:frustrated | pace:fast | slides:14,15,16",4,Repeat/clarification
Skip ahead please.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:39%,Arithmetic Operators:95%,Boolean Logic:90% | emotion:overwhelmed | pace:fast | slides:53,54,55",3,Pace-Related
So how does Lists and Tuples worrk?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:96%,For Loops:80%,While Loops:53% | emotion:anxious | pace:dragging | slides:23,24,25",0,On-Topic Question
We're spending too long on this.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:53%,Functions&Scope:60%,Lambda Functions:79% | emotion:focused | pace:steady | slides:5,6,7",3,Pace-Related
"Please ease up, I can't keep up.","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:90%,Lambda Functions:78%,Error Handling:39% | emotion:tired | pace:normal | slides:5,6,7",3,Pace-Related
How is Dictionaries different from the previous topic?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:71%,While Loops:36%,Lists&Tuples:30% | emotion:anxious | pace:normal | slides:23,24,25",0,On-Topic Question
I am ready to tackle the next challenge!,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:35%,Boolean Logic:74%,If/Else Conditionals:35% | emotion:confused | pace:slow | slides:35,36,37",2,Emotional-State
Can you go deeper into While Loops?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:79%,If/Else Conditionals:79%,For Loops:60% | emotion:engaged | pace:steady | slides:46,47,48",0,On-Topic Question
Can we up pick the pace?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:72%,Strings&Formatting:41% | emotion:neutral | pace:rushed | slides:59,60,61",3,Pace-Related
"I love coding, this is fun!","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:84% | emotion:neutral | pace:fast | slides:6,7,8",2,Emotional-State
How do I cook pasta?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:dragging | slides:5,6,7",1,Off-Topic Question
"Since I did well on For Loops, is Dictionaries going to be similar!!","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:78%,While Loops:60%,Lists&Tuples:59% | emotion:confused | pace:steady | slides:24,25,26",0,On-Topic Question
Can you adjust the speed a bit?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:69%,Boolean Logic:100%,If/Else Conditionals:88% | emotion:engaged | pace:fast | slides:29,30,31",3,Pace-Related
"wait, explain file handlnig one more time","topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:73%,Error Handling:62%,Classes&OOP:44% | emotion:focused | pace:fast | slides:54,55,56",0,On-Topic Question
Who won the soccer match last night?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:94%,Sets:36%,Functions&Scope:37% | emotion:overwhelmed | pace:slow | slides:14,15,16",1,Off-Topic Question
This is getting boring.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:rushed | slides:56,57,58",2,Emotional-State
I feel so good about this now?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:87%,Sets:30%,Functions&Scope:97% | emotion:tired | pace:steady | slides:50,51,52",2,Emotional-State
What's File Handling again?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:68%,Error Handling:75%,Classes&OOP:63% | emotion:neutral | pace:moderate | slides:11,12,13",0,On-Topic Question
Can we do something more interesting?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:91%,Strings&Formatting:90% | emotion:confused | pace:rushed | slides:53,54,55",2,Emotional-State
What ws the output of that code again?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:61%,For Loops:78%,While Loops:63% | emotion:frustrated | pace:rushed | slides:8,9,10",4,Repeat/clarification
"This part is easy, let's go faster.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:82%,Lists&Tuples:33%,Dictionaries:69% | emotion:excited | pace:rushed | slides:27,28,29",3,Pace-Related
"I missed the first step, can you re-explain?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:56%,Arithmetic Operators:59%,Boolean Logic:87% | emotion:tired | pace:slow | slides:57,58,59",4,Repeat/clarification
I'm so sleepy right now.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:65%,Lists&Tuples:86%,Dictionaries:58% | emotion:engaged | pace:rushed | slides:41,42,43",2,Emotional-State
how is lambda functions different from the previous topic?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:79%,Sets:57%,Functions&Scope:71% | emotion:focused | pace:moderate | slides:57,58,59",0,On-Topic Question
Please repeat the steps.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:94%,Strings&Formatting:100% | emotion:bored | pace:normal | slides:41,42,43",4,Repeat/clarification
I'm frustrated because this used to make sense.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:86%,For Loops:46%,While Loops:75% | emotion:neutral | pace:moderate | slides:9,10,11",2,Emotional-State
Can you show that instance one more time?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:33%,While Loops:41%,Lists&Tuples:98% | emotion:focused | pace:slow | slides:25,26,27",4,Repeat/clarification
Can you re-explain how that works?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:56%,Sets:30%,Functions&Scope:91% | emotion:frustrated | pace:slow | slides:19,20,21",4,Repeat/clarification
"You I said scored low on Boolean Logic, does that affect how I should approach For Loops?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:52%,Boolean Logic:40%,If/Else Conditionals:34% | emotion:bored | pace:rushed | slides:46,47,48",0,On-Topic Question
What did you say about the slide right before this one?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:slow | slides:4,5,6",4,Repeat/clarification
I need more time to process this.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:31%,Lists&Tuples:61%,Dictionaries:36% | emotion:bored | pace:normal | slides:49,50,51",3,Pace-Related
honestly Say that again?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:31%,Lists&Tuples:54%,Dictionaries:77% | emotion:focused | pace:normal | slides:27,28,29",4,Repeat/clarification
I need more time to process this,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:37%,Error Handling:47%,Classes&OOP:36% | emotion:confused | pace:rushed | slides:26,27,28",3,Pace-Related
I have no idea what's going on.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:74%,Strings&Formatting:44%,Arithmetic Operators:72% | emotion:bored | pace:steady | slides:28,29,30",2,Emotional-State
I AM SO FRUSTRATED RIGHT NOW.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:34%,Lambda Functions:61%,Error Handling:36% | emotion:neutral | pace:moderate | slides:18,19,20",2,Emotional-State
I feel completely stuck and confused.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:78%,While Loops:41%,Lists&Tuples:98% | emotion:excited | pace:moderate | slides:58,59,60",2,Emotional-State
"Slow down, I'm still on the last example.","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:88%,Boolean Logic:47%,If/Else Conditionals:89% | emotion:neutral | pace:dragging | slides:15,16,17",3,Pace-Related
You are going way too fast?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:45%,While Loops:90%,Lists&Tuples:30% | emotion:anxious | pace:slow | slides:17,18,19",3,Pace-Related
actually Are we going to learn about File Handling soon?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:39%,Lambda Functions:59%,Error Handling:89% | emotion:tired | pace:rushed | slides:4,5,6",1,Off-Topic Question
"I didn't catch that, can you say it again?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:30%,Dictionaries:88%,Sets:36% | emotion:frustrated | pace:steady | slides:17,18,19",4,Repeat/clarification
"I lost you there, can you start over on that point?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:40%,Boolean Logic:42%,If/Else Conditionals:95% | emotion:overwhelmed | pace:slow | slides:15,16,17",4,Repeat/clarification
Are we going to learn about If/Else Conditionals soon?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:78%,Strings&Formatting:97% | emotion:neutral | pace:normal | slides:11,12,13",1,Off-Topic Question
What are the best practices for If/Else Conditionals?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:65%,Arithmetic Operators:58%,Boolean Logic:94% | emotion:focused | pace:slow | slides:43,44,45",0,On-Topic Question
are we on schedule?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:92%,Sets:50%,Functions&Scope:56% | emotion:excited | pace:slow | slides:39,40,41",3,Pace-Related
"I think I got this, let's speed up.","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:72%,Strings&Formatting:60% | emotion:engaged | pace:fast | slides:42,43,44",3,Pace-Related
Why do we need Error Handling (Try/Except)?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:97%,Functions&Scope:40%,Lambda Functions:31% | emotion:confused | pace:fast | slides:29,30,31",0,On-Topic Question
Can you go deeper into Arithmetic Operators?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:93%,Strings&Formatting:48% | emotion:engaged | pace:normal | slides:31,32,33",0,On-Topic Question
Let me see that again.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:70%,Arithmetic Operators:47%,Boolean Logic:96% | emotion:anxious | pace:moderate | slides:21,22,23",4,Repeat/clarification
"I already know a bit about File Handling, can we jump to it?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:34%,Dictionaries:56%,Sets:49% | emotion:anxious | pace:moderate | slides:40,41,42",1,Off-Topic Question
Why is Functions Lambda giving me a syntax error!!,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:93%,Sets:99%,Functions&Scope:85% | emotion:neutral | pace:dragging | slides:31,32,33",0,On-Topic Question
How does Error Handling (Try/Except) relate to Classes and OOP?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:34%,Lambda Functions:83%,Error Handling:58% | emotion:excited | pace:dragging | slides:18,19,20",0,On-Topic Question
"Give me a sec, I'm still processing.","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:69%,Dictionaries:99%,Sets:55% | emotion:anxious | pace:slow | slides:8,9,10",3,Pace-Related
What's the best phone to buy right now?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:75%,Error Handling:34%,Classes&OOP:91% | emotion:excited | pace:steady | slides:32,33,34",1,Off-Topic Question
I have no idea what's going on.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:56%,Functions&Scope:69%,Lambda Functions:37% | emotion:tired | pace:slow | slides:28,29,30",2,Emotional-State
Can you give me a sneak peek of File Handling?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:72%,Functions&Scope:94%,Lambda Functions:63% | emotion:engaged | pace:dragging | slides:35,36,37",1,Off-Topic Question
Can you give me a real-world example of Dictionaries?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:50%,Lists&Tuples:68% | emotion:overwhelmed | pace:rushed | slides:34,35,36",0,On-Topic Question
Is Lists and Tuples something I'll use every day?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:64%,For Loops:72%,While Loops:34% | emotion:focused | pace:rushed | slides:53,54,55",0,On-Topic Question
Can you wait a second before moving to the next slide?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:80%,While Loops:44%,Lists&Tuples:32% | emotion:focused | pace:slow | slides:38,39,40",3,Pace-Related
How does Lambda Functions connect to what we learned before?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:77%,Sets:34%,Functions&Scope:63% | emotion:overwhelmed | pace:moderate | slides:15,16,17",0,On-Topic Question
Could you clarify what you meant?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:81%,Lists&Tuples:91%,Dictionaries:91% | emotion:tired | pace:steady | slides:12,13,14",4,Repeat/clarification
Can you clarify the difference between the two instances?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:49%,For Loops:46%,While Loops:62% | emotion:overwhelmed | pace:normal | slides:49,50,51",4,Repeat/clarification
I'M STRESSSED OUT.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:70%,Dictionaries:35%,Sets:62% | emotion:tired | pace:slow | slides:22,23,24",2,Emotional-State
Could you clarify what you meant?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:normal | slides:41,42,43",4,Repeat/clarification
"this part is easy, let's go faster.","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:90%,Boolean Logic:88%,If/Else Conditionals:40% | emotion:engaged | pace:rushed | slides:18,19,20",3,Pace-Related
I need a moment to think about this.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:60%,Arithmetic Operators:97%,Boolean Logic:83% | emotion:overwhelmed | pace:fast | slides:27,28,29",3,Pace-Related
you're moving too quickly for me.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:82%,Sets:79%,Functions&Scope:36% | emotion:excited | pace:slow | slides:7,8,9",3,Pace-Related
I feel anxious about falling behind.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:95%,Functions&Scope:45%,Lambda Functions:63% | emotion:excited | pace:rushed | slides:19,20,21",2,Emotional-State
I'm having a great time learning this.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:74%,Lambda Functions:57%,Error Handling:74% | emotion:tired | pace:slow | slides:53,54,55",2,Emotional-State
That was actually easier than I thought.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:77%,Sets:99%,Functions&Scope:50% | emotion:focused | pace:dragging | slides:13,14,15",2,Emotional-State
ok so Can you clarify the difference between the two examples?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:83%,Error Handling:47%,Classes&OOP:61% | emotion:neutral | pace:moderate | slides:8,9,10",4,Repeat/clarification
